날짜,문재인,홍준표,안철수,유승민
2017-04-25,24.54347,21.96178,19.68049,23.28078
2017-04-26,38.10388,34.0186,26.0665,20.40013
2017-04-27,14.85164,11.57254,11.12475,6.98199
2017-04-28,15.08889,14.52211,16.03845,15.39501
2017-04-29,11.34894,11.12371,9.88195,7.50761
2017-04-30,11.22787,10.39112,9.16276,5.98412
2017-05-01,10.73794,10.9648,9.19722,9.90653
2017-05-02,17.27194,26.42795,14.91015,43.69262
2017-05-03,16.24768,16.05821,11.14568,26.54115
2017-05-04,22.25041,17.65238,18.18626,24.09652
2017-05-05,20.91431,16.80022,16.97571,24.20966
2017-05-06,15.90607,12.99427,12.38172,12.00525
2017-05-07,17.23079,14.09656,17.82384,12.84407
2017-05-08,24.00803,25.44472,21.32654,15.5296
2017-05-09,100.0,53.74545,47.13023,34.23173
