,date,code,close
4033,2017-06-29,A002140,3260.0
4034,2017-06-29,A042110,2160.0
4035,2017-06-29,A035890,1195.0
4036,2017-06-29,A155660,6660.0
4037,2017-06-30,A155660,6560.0
4038,2017-06-30,A119850,5197.87
4039,2017-06-30,A039560,5760.0
4040,2017-06-30,A065650,5234.61
4041,2017-06-30,A002140,3170.0
4042,2017-06-30,A096630,2460.0
4043,2017-06-30,A042110,2190.0
4044,2017-06-30,A035890,1205.0
4045,2017-06-30,A115500,4985.0
4046,2017-06-30,A102120,8430.0
4047,2017-06-30,A069730,6180.0
4048,2017-07-03,A102120,8170.0
4049,2017-07-03,A039560,5740.0
4050,2017-07-03,A035890,1185.0
4051,2017-07-03,A115500,4875.0
4052,2017-07-03,A069730,6190.0
4053,2017-07-03,A065650,5118.07
4054,2017-07-03,A155660,6520.0
4055,2017-07-03,A002140,3160.0
4056,2017-07-03,A096630,2460.0
4057,2017-07-03,A119850,5071.09
4058,2017-07-03,A042110,2190.0
4059,2017-07-04,A002140,3010.0
4060,2017-07-04,A035890,1190.0
4061,2017-07-04,A096630,2460.0
4062,2017-07-04,A115500,4785.0
4063,2017-07-04,A155660,6430.0
4064,2017-07-04,A069730,6110.0
4065,2017-07-04,A119850,4959.52
4066,2017-07-04,A065650,4962.68
4067,2017-07-04,A042110,2155.0
4068,2017-07-04,A039560,5760.0
4069,2017-07-04,A102120,8140.0
4070,2017-07-05,A115500,4850.0
4071,2017-07-05,A102120,8350.0
4072,2017-07-05,A096630,2520.0
4073,2017-07-05,A065650,4972.39
4074,2017-07-05,A002140,2995.0
4075,2017-07-05,A119850,5045.73
4076,2017-07-05,A155660,6600.0
4077,2017-07-05,A042110,2150.0
4078,2017-07-05,A039560,5720.0
4079,2017-07-05,A069730,6370.0
4080,2017-07-05,A035890,1195.0
4081,2017-07-06,A155660,6700.0
4082,2017-07-06,A065650,5069.51
4083,2017-07-06,A039560,5650.0
4084,2017-07-06,A069730,6260.0
4085,2017-07-06,A096630,2600.0
4086,2017-07-06,A035890,1200.0
4087,2017-07-06,A042110,2185.0
4088,2017-07-06,A002140,3050.0
4089,2017-07-06,A115500,4885.0
4090,2017-07-06,A119850,4944.31
4091,2017-07-06,A102120,8250.0
4092,2017-07-07,A102120,8140.0
4093,2017-07-07,A002140,3015.0
4094,2017-07-07,A042110,2165.0
4095,2017-07-07,A039560,5520.0
4096,2017-07-07,A115500,4825.0
4097,2017-07-07,A119850,5121.8
4098,2017-07-07,A065650,4952.97
4099,2017-07-07,A155660,6650.0
4100,2017-07-07,A096630,2580.0
4101,2017-07-07,A069730,6330.0
4102,2017-07-07,A035890,1225.0
4103,2017-07-10,A155660,6510.0
4104,2017-07-10,A102120,8010.0
4105,2017-07-10,A069730,6250.0
4106,2017-07-10,A096630,2585.0
4107,2017-07-10,A119850,5147.16
4108,2017-07-10,A042110,2145.0
4109,2017-07-10,A115500,4790.0
4110,2017-07-10,A065650,4753.88
4111,2017-07-10,A002140,2865.0
4112,2017-07-10,A039560,5410.0
4113,2017-07-10,A035890,1215.0
4114,2017-07-11,A069730,6350.0
4115,2017-07-11,A115500,4655.0
4116,2017-07-11,A119850,5025.45
4117,2017-07-11,A002140,2865.0
4118,2017-07-11,A096630,2635.0
4119,2017-07-11,A039560,5400.0
4120,2017-07-11,A155660,6640.0
4121,2017-07-11,A042110,2145.0
4122,2017-07-11,A102120,7970.0
4123,2017-07-11,A065650,4617.92
4124,2017-07-11,A035890,1200.0
4125,2017-07-12,A119850,4888.53
4126,2017-07-12,A035890,1195.0
4127,2017-07-12,A042110,2170.0
4128,2017-07-12,A102120,7730.0
4129,2017-07-12,A155660,6690.0
4130,2017-07-12,A069730,6480.0
4131,2017-07-12,A039560,5120.0
4132,2017-07-12,A065650,4676.19
4133,2017-07-12,A002140,2850.0
4134,2017-07-12,A115500,4520.0
4135,2017-07-12,A096630,2575.0
4136,2017-07-13,A102120,7880.0
